t ,a     ,dirtext                 ,img               ,fings    ,static,model          ,colltype,timing,angle,invforce,tsX ,tsY ,tsZ ,sX ,sY ,sZ ,rX,rY,rZ
20,sphere,Spherical grasp (t+s)   ,images/jargrip.jpg,1 2 3 4 5,True  ,models/Cylinder,cylinder,2     ,120  ,0.2     , 0.0,-0.5,-0.5,2,2,0.5,0 ,0 , 0
21,ptp1  ,Thumb-Index pinch (t+s) ,images/p2p1.jpg   ,1 2      ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , 0.4,-0.1, 0.0,0.5,0.5,0.5,0 ,0 , 0
22,ptp2  ,Thumb-Middle pinch (t+s),images/p2p2.jpg   ,1 3      ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , 0.5,-0.2,-0.6,0.5,0.5,0.5,0 ,0 , 0
23,ptp3  ,Thumb-Ring pinch (t+s)  ,images/p2p3.jpg   ,1 4      ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , 0.0, 0.0, 0.0,0.5,0.5,0.5,0 ,0 , 0
24,tri   ,Tripod grasp (t+s)      ,images/tripod.jpg ,1 2 3    ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , -0.6,0.0,-0.6,0.8,0.8,0.8,0 ,0 , 0
25,sphere,Spherical grasp (t+s)   ,images/jargrip.jpg,1 2 3 4 5,True  ,models/Cylinder,cylinder,2     ,120  ,0.2     , 0.0,-0.5,-0.5,2,2,0.5,0 ,0 , 0
26,ptp1  ,Thumb-Index pinch (t+s) ,images/p2p1.jpg   ,1 2      ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , 0.4,-0.1, 0.0,0.5,0.5,0.5,0 ,0 , 0
27,ptp2  ,Thumb-Middle pinch (t+s),images/p2p2.jpg   ,1 3      ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , 0.5,-0.2,-0.6,0.5,0.5,0.5,0 ,0 , 0
28,ptp3  ,Thumb-Ring pinch (t+s)  ,images/p2p3.jpg   ,1 4      ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , 0.0, 0.0, 0.0,0.5,0.5,0.5,0 ,0 , 0
29,tri   ,Tripod grasp (t+s)      ,images/tripod.jpg ,1 2 3    ,True  ,models/target  ,sphere  ,1     ,120  ,0.2     , -0.6,0.0,-0.6,0.8,0.8,0.8,0 ,0 , 0
30,sphere,Spherical grasp (t+s)   ,images/jargrip.jpg,1 2 3 4 5,True  ,models/Cylinder,cylinder,2     ,120  ,0.2     , 0.0,-0.5,-0.5,2,2,0.5,0 ,0 , 0
