t ,a   ,dirtext              ,img              ,fings,static,model      ,colltype,timing,angle,invforce,tsX ,tsY ,tsZ ,sX ,sY ,sZ ,rX,rY,rZ
26,ptp1,Thumb-Index Dial (S) ,images/p2p1.jpg  ,1 2  ,False ,models/knob,cylinder,20    , 20  ,0.2     , 0.4,-0.1, 0.0,0.5,0.5,0.5,0 ,0 ,0
27,ptp2,Thumb-Middle Dial (S),images/p2p2.jpg  ,1 3  ,False ,models/knob,cylinder,20    ,-20  ,0.2     , 0.5,-0.2,-0.6,0.5,0.5,0.5,0 ,0 ,0
28,ptp2,Thumb-Middle Dial (S),images/p2p2.jpg  ,1 3  ,False ,models/knob,cylinder,20    , 20  ,0.2     , 0.5,-0.2,-0.6,0.5,0.5,0.5,0 ,0 ,0
29,tri,Tripod Dial (S)       ,images/tripod.jpg,1 2 3,False ,models/knob,cylinder,20    ,-20  ,0.2     ,-0.6,  -1,-0.4,0.8,0.8,0.8,0 ,0 ,0
30,tri,Tripod Dial (S)       ,images/tripod.jpg,1 2 3,False ,models/knob,cylinder,20    , 20  ,0.2     ,-0.6,  -1,-0.4,0.8,0.8,0.8,0 ,0 ,0
31,ptp1,Thumb-Index Dial (S) ,images/p2p1.jpg  ,1 2  ,False ,models/knob,cylinder,20    ,-20  ,0.2     , 0.4,-0.1, 0.0,0.5,0.5,0.5,0 ,0 ,0
32,ptp1,Thumb-Index Dial (S) ,images/p2p1.jpg  ,1 2  ,False ,models/knob,cylinder,20    , 20  ,0.2     , 0.4,-0.1, 0.0,0.5,0.5,0.5,0 ,0 ,0
33,ptp2,Thumb-Middle Dial (S),images/p2p2.jpg  ,1 3  ,False ,models/knob,cylinder,20    ,-20  ,0.2     , 0.5,-0.2,-0.6,0.5,0.5,0.5,0 ,0 ,0
34,ptp2,Thumb-Middle Dial (S),images/p2p2.jpg  ,1 3  ,False ,models/knob,cylinder,20    , 20  ,0.2     , 0.5,-0.2,-0.6,0.5,0.5,0.5,0 ,0 ,0
35,tri,Tripod Dial (S)       ,images/tripod.jpg,1 2 3,False ,models/knob,cylinder,20    ,-20  ,0.2     ,-0.6,  -1,-0.4,0.8,0.8,0.8,0 ,0 ,0
36,tri,Tripod Dial (S)       ,images/tripod.jpg,1 2 3,False ,models/knob,cylinder,20    , 20  ,0.2     ,-0.6,  -1,-0.4,0.8,0.8,0.8,0 ,0 ,0
1 ,ptp1,Thumb-Index Dial (L) ,images/p2p1.jpg  ,1 2  ,False ,models/knob,cylinder,20    ,-45  ,0.2     , 0.4,-0.1, 0.0,0.5,0.5,0.5,0 ,0 ,0
2 ,ptp1,Thumb-Index Dial (L) ,images/p2p1.jpg  ,1 2  ,False ,models/knob,cylinder,20    , 45  ,0.2     , 0.4,-0.1, 0.0,0.5,0.5,0.5,0 ,0 ,0
3 ,ptp2,Thumb-Middle Dial (L),images/p2p2.jpg  ,1 3  ,False ,models/knob,cylinder,20    ,-45  ,0.2     , 0.5,-0.2,-0.6,0.5,0.5,0.5,0 ,0 ,0
